,基金代码,基金简称
4342,005895,平安合丰定开债
4343,005896,平安合慧定开债
4344,005897,平安合颖定开债
4345,005898,浦银安盛盛泽定开债券
4346,005901,诺安汇利灵活配置混合A
4347,005902,诺安汇利灵活配置混合C
4348,005903,泰达宏利绩优混合
4349,005904,华泰保兴成长优选A
4350,005905,华泰保兴成长优选C
4351,005906,招商丰茂灵活混合发起式A
4352,005907,招商丰茂灵活混合发起式C
4353,005908,华泰保兴尊利债券A
4354,005909,华泰保兴尊利债券C
4355,005910,广发龙头优选混合
4356,005911,广发双擎升级混合A
4357,005914,景顺长城智能生活混合
4358,005917,广发汇誉3个月定开债
4359,005918,天弘沪深300ETF联接C
4360,005919,天弘中证500ETF联接C
4361,005920,富国颐利纯债债券
4362,005921,农银汇理金鑫3个月定开债
4363,005925,建信福泽裕泰混合(FOF)A
4364,005926,建信福泽裕泰混合(FOF)C
4365,005927,创金合信新能源汽车股票A
4366,005928,创金合信新能源汽车股票C
4367,005931,中融恒裕纯债A
4368,005932,中融恒裕纯债C
4369,005933,前海联合先进制造混合A
4370,005934,前海联合先进制造混合C
4371,005935,前海联合润丰混合C
4372,005936,申万菱信安泰惠利纯债A
4373,005937,工银精选金融地产混合A
4374,005938,工银精选金融地产混合C
4375,005939,工银新能源汽车混合A
4376,005940,工银新能源汽车混合C
4377,005943,工银聚福混合A
4378,005944,工银聚福混合C
4379,005945,工银可转债优选债券A
4380,005946,工银可转债优选债券C
4381,005947,德邦民裕进取量化混合A
4382,005948,德邦民裕进取量化混合C
4383,005949,鑫元行业轮动混合A
4384,005950,鑫元行业轮动混合C
4385,005951,民生加银恒益纯债A
4386,005952,民生加银恒益纯债C
4387,005953,人保转型新动力混合A
4388,005954,人保转型新动力混合C
4389,005955,易方达鑫转添利混合A
4390,005956,易方达鑫转添利混合C
4391,005957,华夏聚丰稳健混合发起式(FOF)A
4392,005958,华夏聚丰稳健混合发起式(FOF)C
4393,005959,财通新视野灵活配置混合C
4394,005960,博时量化价值股票A
4395,005961,博时量化价值股票C
4396,005962,宝盈人工智能股票A
4397,005963,宝盈人工智能股票C
4398,005964,中欧安财定开债发起式
4399,005965,安信中证500指数增强A
4400,005966,安信中证500指数增强C
4401,005967,鹏华创新驱动混合
4402,005968,创金合信工业周期股票A
4403,005969,创金合信工业周期股票C
4404,005970,国泰消费优选股票
4405,005971,平安惠锦债券
4406,005972,交银裕如纯债债券A
4407,005973,交银裕如纯债债券C
4408,005974,东方红配置精选混合A
4409,005975,东方红配置精选混合C
4410,005976,长信稳进资产配置(FOF)
4411,005977,中信保诚至兴混合A
4412,005978,中信保诚至兴混合C
4413,005979,南方合顺多资产(FOF)A
4414,005980,南方合顺多资产(FOF)C
4415,005983,上投摩根核心精选
4416,005984,兴业聚华混合A
4417,005985,兴业聚华混合C
4418,005988,兴业纯债6个月定开债A
4419,005989,兴业纯债6个月定开债C
4420,005990,申万菱信安泰惠利纯债C
4421,005991,长信利丰债券A
4422,005992,光大超短债A
4423,005993,光大超短债C
4424,005994,国投中证500指数量化增强A
4425,005995,国投瑞银顺泓债券
4426,005996,国投瑞银顺昌纯债债券
4427,005997,天弘裕利灵活配置混合C
4428,005998,嘉实深证基本面120联接C
4429,005999,嘉实中证金融地产ETF联接C
4430,006002,工银医药健康股票A
4431,006003,工银医药健康股票C
4432,006004,工银添祥一年定开债券
4433,006005,诺安鼎利混合A
4434,006006,诺安鼎利混合C
4435,006007,诺安积极配置混合A
4436,006008,诺安积极配置混合C
4437,006009,国融融银灵活配置混合A
4438,006010,国融融银灵活配置混合C
4439,006011,中信保诚稳鸿A
4440,006012,中信保诚稳鸿C
4441,006013,易方达鑫转招利混合A
4442,006014,易方达鑫转招利混合C
4443,006015,华安信用四季红债券C
4444,006016,平安惠安债券
4445,006020,广发沪深300指数增强A
4446,006021,广发沪深300指数增强C
4447,006022,富国大盘价值量化混合
4448,006023,宝盈聚丰两年定开债券A
4449,006024,宝盈聚丰两年定开债券C
4450,006025,诺安优化配置混合
4451,006026,东吴鼎泰纯债债券
4452,006027,国投瑞银顺祥债券
4453,006029,鹏华尊享定开债发起式
4454,006030,南方昌元转债A
4455,006031,南方昌元C
4456,006032,创金合信汇泽三个月定开债券
4457,006034,富国MSCI中国A股国际通
4458,006035,中融恒惠纯债A
4459,006036,中融恒惠纯债C
4460,006037,国泰瑞和纯债债券
4461,006038,大成景恒混合C
4462,006039,国富估值优势混合
4463,006040,安信永瑞定开债券
4464,006042,上投摩根尚睿混合(FOF)
4465,006043,永赢惠益债券A
4466,006044,永赢惠益债券C
4467,006045,长城久瑞三个月定开债发起式
4468,006047,长信稳健纯债债券E
4469,006048,长城中证500指数增强A
4470,006049,恒越研究精选混合A/B
4471,006050,恒越研究精选混合A/B(后端)
4472,006051,鹏扬核心价值灵活配置A
4473,006052,鹏扬核心价值灵活配置C
4474,006053,中航瑞景3个月定开A
4475,006054,中航瑞景3个月定开C
4476,006055,鹏扬淳合债券
4477,006057,鹏华丰和债券(LOF)C
4478,006058,民生加银新兴成长混合
4479,006059,鹏扬泓利债券A
4480,006060,鹏扬泓利债券C
4481,006061,红土创新增强收益债券A
4482,006063,景顺长城MSCI中国A股国际通
4483,006064,红土创新增强收益债券C
4484,006065,景顺长城景泰稳利定开债C
4485,006066,中加颐睿纯债债券A
4486,006067,中加颐睿纯债债券C
4487,006068,中加颐信纯债债券A
4488,006069,中加颐信纯债债券C
4489,006070,银河沃丰债券
4490,006071,银河睿嘉债券A
4491,006072,民生加银创新成长混合
4492,006073,人保鑫瑞中短债债券A
4493,006074,人保鑫瑞中短债债券C
4494,006075,博时标普500ETF联接C
4495,006076,创金合信恒利超短债债券A
4496,006077,创金合信恒利超短债债券C
4497,006080,海富通电子传媒股票C
4498,006081,海富通电子传媒股票A
4499,006082,鑫元全利一年定开债A
4500,006083,鑫元全利一年定开债C
4501,006084,融通研究优选混合
4502,006085,万家新机遇价值驱动C
4503,006086,银河睿丰定开债券
4504,006087,华泰柏瑞中证500ETF联接C
4505,006088,永赢润益债券A
4506,006089,永赢润益债券C
4507,006090,前海开源鼎康债券A
4508,006091,前海开源鼎康债券C
4509,006092,永赢荣益债券A
4510,006093,永赢荣益债券C
4511,006094,永赢泰益债券A
4512,006095,永赢泰益债券C
4513,006096,中金浙金6个月定开债
4514,006097,平安高等级债A
4515,006098,华宝券商ETF联接A
4516,006099,泰达宏利泽利债券
4517,006100,平安优势产业混合A
4518,006101,平安优势产业混合C
4519,006102,浙商丰利增强债券
4520,006104,华泰柏瑞量化智慧混合C
4521,006105,泰达宏利印度(QDII)
4522,006106,景顺长城量化港股通股票
4523,006107,招商添利6个月定开债发起式A
4524,006108,招商添利6个月定开债发起式C
4525,006109,富荣价值精选混合A
4526,006110,富荣价值精选混合C
4527,006111,泰康弘实3月定开混合
4528,006112,易方达恒惠定开债
4529,006113,汇添富创新医药混合
4530,006114,人保鑫利债券A
4531,006115,人保鑫利债券C
4532,006116,国泰丰祺纯债债券
4533,006119,银华中证央企结构调整ETF联接
4534,006120,中融聚明定期开放债券
4535,006121,华安双核驱动混合A
4536,006122,华安低碳生活混合
4537,006123,中融高股息混合A
4538,006124,中融高股息混合C
4539,006127,华宝香港中小C
4540,006128,银河和美生活混合
4541,006129,华安中证500低波ETF联接A
4542,006130,华安中证500低波ETF联接C
4543,006131,华泰柏瑞沪深300ETF联接C
4544,006132,万家智造优势混合A
4545,006133,万家智造优势混合C
4546,006134,富国金融债债券型
4547,006135,长江乐鑫定开债
4548,006136,广发估值优势混合A
4549,006137,广发汇立定期开放债券
4550,006138,国联安价值优选股票
4551,006140,广发集嘉债券A
4552,006141,广发集嘉债券C
4553,006142,鑫元淳利定期开放债券
4554,006143,恒生前海中证质量成长A
4555,006144,恒生前海中证质量成长C
4556,006145,前海开源鼎欣债券A
4557,006146,前海开源鼎欣债券C
4558,006147,宝盈融源可转债债券A
4559,006148,宝盈融源可转债债券C
4560,006149,南方赢元
4561,006150,招商添利两年债券
4562,006151,南方交元债券
4563,006152,国联安增鑫纯债A
4564,006153,国联安增鑫纯债C
4565,006154,华安制造先锋混合A
4566,006157,财通量化核心优选混合
4567,006158,博时荣享回报混合A
4568,006159,博时荣享回报混合C
4569,006160,博道启航混合A
4570,006161,博道启航混合C
4571,006162,财通资管积极收益债券E
4572,006163,融通增辉定开债券发起式
4573,006165,建信中证1000指数增强A
4574,006166,建信中证1000指数增强C
4575,006167,德邦乐享生活混合A
4576,006168,德邦乐享生活混合C
4577,006169,工银瑞福纯债债券A
4578,006170,工银瑞福纯债债券C
4579,006171,鹏扬淳利定期开放债券
4580,006172,万家鑫悦纯债A
4581,006173,万家鑫悦纯债C
4582,006174,长信稳裕三个月定开债
4583,006175,万家聚利混合A
4584,006176,万家聚利混合C
4585,006177,中信保诚稳达A
4586,006178,中信保诚稳达C
4587,006179,富国品质生活混合A
4588,006180,中加颐合纯债债券
4589,006181,格林伯锐灵活配置A
4590,006182,格林伯锐灵活配置C
4591,006183,南方泽元
4592,006184,格林泓鑫纯债A
4593,006185,格林泓鑫纯债C
4594,006186,永赢盈益债券A
4595,006187,永赢盈益债券C
4596,006188,华泰保兴尊颐定开
4597,006189,国金量化添利
4598,006190,前海开源裕瑞混合C
4599,006191,华夏鼎通债券A
4600,006192,华夏鼎通债券C
4601,006193,鑫元核心资产A
4602,006194,鑫元核心资产C
4603,006195,国金量化多因子
4604,006196,华夏中证央企ETF联接A
4605,006197,华夏中证央企ETF联接C
4606,006198,长盛龙头双核驱动混合
4607,006199,长盛同锦研究精选混合
4608,006201,景顺长城量化先锋混合
4609,006202,交银核心资产混合
4610,006203,新疆前海联合泳祺纯债A
4611,006204,新疆前海联合泳祺纯债C
4612,006205,汇添富沪港深优势定开
4613,006206,融通增悦债券
4614,006207,泰康裕泰债券A
4615,006208,泰康裕泰债券C
4616,006209,中信保诚新蓝筹混合
4617,006210,东方臻宝纯债债券A
4618,006211,东方臻宝纯债债券C
4619,006212,东方臻选纯债债券A
4620,006213,东方臻选纯债债券C
4621,006214,平安500ETF联接A
4622,006215,平安500ETF联接C
4623,006216,前海开源价值成长混合A
4624,006217,前海开源价值成长混合C
4625,006218,富国生物医药科技混合A
4626,006219,海富通鼎丰定开债券
4627,006220,工银上证50ETF联接A
4628,006221,工银上证50ETF联接C
4629,006222,平安惠兴债券
4630,006223,交银创新成长混合
4631,006224,中银中债3-5年期农发行债券
4632,006225,人保量化混合A
4633,006226,人保量化混合C
4634,006227,华宝科技先锋混合A
4635,006228,中欧医疗创新股票A
4636,006229,中欧医疗创新股票C
4637,006230,鹏华研究驱动混合
4638,006231,国融融君混合A
4639,006232,国融融君混合C
4640,006233,万家汽车新趋势混合A
4641,006234,万家汽车新趋势混合C
4642,006235,东方城镇消费主题混合
4643,006237,永赢嘉益债券
4644,006240,中融医疗健康混合A
4645,006241,中融医疗健康混合C
4646,006242,宝盈盈润纯债债券
4647,006243,中银双息回报混合
4648,006245,嘉实养老2030混合(FOF)
4649,006246,华夏中小企业100ETF联接A
4650,006247,华夏中小企业100ETF联接C
4651,006248,华夏创业板ETF联接A
4652,006249,华夏创业板ETF联接C
4653,006250,上投摩根动力精选混合A
4654,006251,银华兴盛股票
4655,006252,永赢消费主题A
4656,006253,永赢消费主题C
4657,006254,长城久悦债券
4658,006255,中邮中证价值回报量化策略A
4659,006256,中邮中证价值回报量化策略C
4660,006257,信达澳银先进智造股票型
4661,006258,华宸未来稳健添利债券C
4662,006259,汇添富红利增长混合A
4663,006260,汇添富红利增长混合C
4664,006263,易方达香港小型股指数C
4665,006264,平安惠轩债券
4666,006265,红土创新新科技股票
4667,006266,永赢智能领先混合A
4668,006267,诺德量化核心A
4669,006268,诺德量化核心C
4670,006269,永赢智能领先混合C
4671,006270,汇安核心成长混合A
4672,006271,汇安核心成长混合C
4673,006274,圆信永丰医药健康
4674,006275,永赢聚益债券A
4675,006276,永赢聚益债券C
4676,006277,中金瑞和A
4677,006278,中金瑞和C
4678,006279,中金瑞祥A
4679,006280,中金瑞祥C
4680,006281,万家人工智能混合
4681,006282,上投欧洲动力(QDII)
4682,006283,鹏华美国房地产美元现汇
4683,006284,浙商兴永三个月定开债发起式
4684,006285,鹏华全球中短债(QDII)美元现汇A
4685,006286,华泰MSCI中国A股联接A
4686,006287,永赢盛益债券A
4687,006288,永赢盛益债券C
4688,006289,华夏养老2040(FOF)
4689,006290,南方养老2035(FOF)A
4690,006291,南方养老2035(FOF)C
4691,006292,易方达汇诚养老2043混合(FOF)
4692,006293,华泰MSCI中国A股联接C
4693,006294,万家稳健养老(FOF)
4694,006295,工银养老2035(FOF)
4695,006296,鹏华养老2035混合(FOF)
4696,006297,富国鑫旺稳健养老(FOF)
4697,006298,广发稳健养老(FOF)
4698,006299,恒越核心精选混合A
4699,006300,华宝宝丰高等级债券A
4700,006301,华宝宝丰高等级债券C
4701,006302,银华行业轮动混合
4702,006303,中银养老一年定开(FOF)
4703,006304,中加颐鑫纯债债券
4704,006305,银华尊和养老2035混合(FOF)
4705,006306,泰达宏利泰和平衡养老(FOF)
4706,006307,嘉实养老2040混合(FOF)
4707,006308,汇添富全球消费混合人民币A
4708,006309,汇添富全球消费混合人民币C
4709,006310,汇添富全球消费混合美元现汇
4710,006313,恒越核心精选混合A(后端)
4711,006314,中融策略优选混合A
4712,006315,中融策略优选混合C
4713,006316,平安惠诚纯债债券
4714,006319,易方达安瑞短债A
4715,006320,易方达安瑞短债C
4716,006321,中欧预见养老2035(FOF)A
4717,006322,中欧预见养老2035(FOF)C
4718,006323,合煦智远嘉选混合A
4719,006324,合煦智远嘉选混合C
4720,006325,招商添荣3个月定开债A
4721,006326,招商添荣3个月定开债C
4722,006327,易方达中证海外50ETF联接人民币A
4723,006328,易方达中证海外50ETF联接人民币C
4724,006329,易方达中证海外50ETF联接美元A
4725,006330,易方达中证海外50ETF联接美元C
4726,006331,中银国有企业债C
4727,006332,招商金鸿债券A
4728,006333,招商金鸿债券C
4729,006336,泓德量化精选混合
4730,006337,华安安浦债券A
4731,006338,华安安浦债券C
4732,006339,银华MSCI中国A股联接A
4733,006340,国泰民安增益纯债C
4734,006341,中金MSCI质量A
4735,006342,中金MSCI质量C
4736,006343,中金MSCI低波动A
4737,006344,中金MSCI低波动C
4738,006345,景顺长城集英两年定开混合
4739,006346,安信量化优选股票A
4740,006347,安信量化优选股票C
4741,006348,银华盛利混合发起式
4742,006349,中金MSCI中国A股价值指数A
4743,006350,中金MSCI中国A股价值指数C
4744,006351,中金MSCI中国A股红利指数A
4745,006352,中金MSCI中国A股红利指数C
4746,006353,东方红核心优选定开混合A
4747,006354,国泰民裕进取灵活配置混合
4748,006355,华宝香港大盘C
4749,006358,前海联合泳盛纯债A
4750,006359,前海联合泳盛纯债C
4751,006360,财通鸿益中短债债券A
4752,006361,财通鸿益中短债债券C
4753,006363,建信深证基本面60ETF联接C
4754,006364,招商丰韵混合A
4755,006365,招商丰韵混合C
4756,006366,兴业安保优选混合
4757,006367,交银裕祥纯债债券A
4758,006368,交银裕祥纯债债券C
4759,006369,弘毅远方国企转型升级混合A
4760,006370,国富大中华精选混合美元
4761,006371,长安鑫盈混合A
4762,006372,长安鑫盈混合C
4763,006373,国富全球科技互联混合人民币
4764,006374,国富全球科技互联混合美元现汇
4765,006377,广发趋势动力混合
4766,006378,广发汇宏6个月定开债
4767,006381,华夏恒生ETF联接C
4768,006382,华夏中证500ETF联接C
4769,006383,招商添盈纯债A
4770,006384,招商添盈纯债C
4771,006385,华泰保兴研究智选A
4772,006386,华泰保兴研究智选C
4773,006387,宝盈安泰短债债券A
4774,006388,宝盈安泰短债债券C
4775,006389,金鹰添祥中短债A
4776,006390,金鹰添祥中短债C
4777,006392,中信保诚创新成长混合
4778,006393,招商添德3个月定开债A
4779,006394,招商添德3个月定开债C
4780,006395,华夏上证50AH优选指数C
4781,006396,长信双利优选混合E
4782,006397,长信内需成长混合E
4783,006398,宝盈祥颐定期开放混合A
4784,006399,宝盈祥颐定期开放混合C
4785,006400,凯石泓行业轮动混合
4786,006401,先锋量化优选混合A
4787,006402,先锋量化优选混合C
4788,006403,银河睿嘉债券C
4789,006404,浦银安盛盛融定开债券
4790,006405,华富恒盛纯债债券A
4791,006406,华富恒盛纯债债券C
4792,006408,汇添富消费升级混合
4793,006409,富国中债国开行债A
4794,006410,富国中债国开行债C
4795,006411,中加颐智纯债债券
4796,006412,平安合锦定开债
4797,006415,银华中短政策金融债定开债
4798,006416,方正富邦丰利债券A
4799,006417,方正富邦丰利债券C
4800,006419,人保优势产业混合A
4801,006420,人保优势产业混合C
4802,006421,中银弘享债券
4803,006422,嘉合磐稳纯债A
4804,006423,嘉合磐稳纯债C
4805,006424,嘉合锦程混合A
4806,006425,嘉合锦程混合C
4807,006427,招商添悦纯债A
4808,006428,招商添悦纯债C
4809,006429,诺安恒鑫混合
4810,006430,凯石澜龙头经济定开混合
4811,006431,汇安鼎利纯债A
4812,006432,汇安鼎利纯债C
4813,006433,平安鑫利混合C
4814,006434,鹏华3个月中短债A
4815,006435,景顺长城创新成长混合
4816,006436,浦银安盛中短债A
4817,006437,浦银安盛中短债C
4818,006438,博时央调ETF联接A
4819,006439,博时央调ETF联接C
4820,006440,中信建投中证500增强A
4821,006441,中信建投中证500增强C
4822,006442,东兴品牌精选混合C
4823,006443,永赢裕益债券A
4824,006444,永赢裕益债券C
4825,006445,华夏全球聚享A人民币
4826,006446,华夏全球聚享A美元现汇
4827,006447,华夏全球聚享A美元现钞
4828,006448,华夏全球聚享C人民币
4829,006449,浙商汇金量化精选混合
4830,006450,嘉实致盈债券
4831,006451,华富恒定久期国开债A
4832,006452,华富恒定久期国开债C
4833,006453,中加瑞利纯债债券A
4834,006454,中加瑞利纯债债券C
4835,006456,鹏华3个月中短债C
4836,006457,平安估值优势混合A
4837,006458,平安估值优势混合C
4838,006459,人保鑫裕增强A
4839,006460,人保鑫裕增强C
4840,006461,人保福泽一年定期开放债券
4841,006462,信达澳银新起点定期开放混合C
4842,006463,信达澳银新征程定开混合C
4843,006464,浦银安盛普益纯债A
4844,006465,浦银安盛普益纯债C
4845,006466,浦银安盛双债增强债券A
4846,006467,浦银安盛双债增强债券C
4847,006468,嘉实稳联纯债债券
4848,006470,工银目标收益一年定开A
4849,006471,华润元大润鑫债券C
4850,006473,招商中债1-5年进出口行A
4851,006474,招商中债1-5年进出口行C
4852,006475,国泰嘉睿纯债债券
4853,006476,南方原油C
4854,006477,中邮沪港深精选混合
4855,006478,长盛多因子策略优选
4856,006479,广发纳斯达克100指数C
4857,006480,广发纳斯达克100美元现汇C
4858,006481,海富通上清所短融债券A
4859,006482,广发可转债债券A
4860,006483,广发可转债债券C
4861,006484,广发中债1-3年国开债A
4862,006485,广发中债1-3年国开债C
4863,006486,广发中证1000指数A
4864,006487,广发中证1000指数C
4865,006488,富荣富开1-3年国开债纯债A
4866,006489,招商添裕纯债A
4867,006490,招商添裕纯债C
4868,006491,南方1-3年国开债A
4869,006492,南方1-3年国开债C
4870,006493,南方3-5年农发债A
4871,006494,南方3-5年农发债C
4872,006495,国联安增富一年定开债
4873,006496,银华安盈短债债券A
4874,006497,银华安盈短债债券C
4875,006498,中科沃土沃盛纯债A
4876,006499,中科沃土沃盛纯债C
4877,006500,建信润利增强债券A
4878,006501,建信润利增强债券C
4879,006502,财通集成电路产业股票A
4880,006503,财通集成电路产业股票C
4881,006504,广发汇承定期开放债券
4882,006505,永赢祥益债券A
4883,006506,永赢祥益债券C
4884,006507,前海开源裕泽(FOF)
4885,006508,国联安增裕一年定开债
4886,006509,国联安增盈纯债A
4887,006510,国联安增盈纯债C
4888,006511,博道卓远混合A
4889,006512,博道卓远混合C
4890,006513,鹏扬淳享债券A
4891,006514,鹏扬淳享债券C
4892,006515,浙商汇金短债E
4893,006516,浙商汇金短债A
4894,006517,南方吉元短债A
4895,006518,南方吉元短债C
4896,006519,汇安短债债券A
4897,006520,汇安短债债券C
4898,006521,汇安短债债券E
4899,006522,财通新兴蓝筹混合A
4900,006523,财通新兴蓝筹混合C
4901,006524,前海开源MSCI中国A股指数A
4902,006525,前海开源MSCI中国A股指数C
4903,006526,鹏华优选回报混合A
4904,006527,富国优质发展混合A
4905,006528,富国优质发展混合C
4906,006529,中欧匠心两年持有期混合A
4907,006530,中欧匠心两年持有期混合C
4908,006531,华泰柏瑞量化驱动混合C
4909,006532,华泰柏瑞量化阿尔法C
4910,006533,易方达科融混合
4911,006534,农银汇理永盛定期开放混合
4912,006535,恒生前海恒锦裕利A
4913,006536,恒生前海恒锦裕利C
4914,006537,恒生前海港股通精选混合
4915,006538,东海核心价值
4916,006539,南方优选价值混合C
4917,006540,南方绩优成长混合C
4918,006541,南方成份精选混合C
4919,006542,财通鸿利中短债债券A
4920,006543,财通鸿利中短债债券C
4921,006544,平安惠聚纯债债券
4922,006545,兴银中短债A
4923,006546,兴银中短债C
4924,006547,红塔红土盛弘混合A
4925,006548,红塔红土盛弘混合C
4926,006549,国金惠盈纯债A
4927,006551,中庚价值领航混合
4928,006552,广发汇兴3个月定期开放债券
4929,006553,国投瑞银恒泽中短债C
4930,006554,华安鼎益债券C
4931,006555,浦银安盛全球智能科技(QDII)A
4932,006556,海富通研究精选混合C
4933,006557,海富通研究精选混合A
4934,006558,永赢通益债券A
4935,006559,永赢通益债券C
4936,006560,华夏四川国改ETF联接A
4937,006561,华夏四川国改ETF联接C
4938,006562,中欧短债债券C
4939,006563,安信优享纯债债券A
4940,006564,圆信永丰精选回报混合
4941,006565,光大尊泰定开债
4942,006567,中泰星元灵活配置混合A
4943,006568,国联安行业领先混合
4944,006569,国联安中证医药100C
4945,006570,中金金元A
4946,006571,中金金元C
4947,006572,宝盈盈泰纯债债券C
4948,006573,人保行业轮动混合A
4949,006574,人保行业轮动混合C
4950,006575,华安养老2030三年(FOF)
4951,006576,永赢诚益债券A
4952,006577,永赢诚益债券C
4953,006578,泰康中证港股通非银指数A
4954,006579,泰康中证港股通非银指数C
4955,006580,兴全安泰养老三年(FOF)
4956,006581,建信优享稳健养老(FOF)
4957,006582,博时富永3个月定开债
4958,006583,中信保诚景泰债券A
4959,006584,中信保诚景泰债券C
4960,006585,南方宝元债券C
4961,006586,南方安裕混合C
4962,006587,南方优享分红混合C
4963,006588,中加聚利纯债定开A
4964,006589,中加聚利纯债定开C
4965,006590,南方新优享灵活配置混合C
4966,006591,广发景明中短债A
4967,006592,广发景明中短债C
4968,006593,博道中证500增强A
4969,006594,博道中证500增强C
4970,006595,广发港股通优质增长混合A
4971,006596,国泰聚禾纯债债券
4972,006597,国泰利享中短债债券A
4973,006598,国泰利享中短债债券C
4974,006599,国寿安保安丰纯债债券
4975,006600,人保沪深300指数
4976,006601,国融融泰灵活配置混合A
4977,006602,国融融泰灵活配置混合C
4978,006603,嘉实互融精选股票
4979,006604,嘉实消费精选股票A
4980,006605,嘉实消费精选股票C
4981,006606,泓德裕丰中短债债券A
4982,006607,泓德裕丰中短债债券C
4983,006608,泓德研究优选混合
4984,006609,申万菱信安泰瑞利中短债A
4985,006610,银华远见混合发起式
4986,006611,人保中证500指数
4987,006612,银华信用精选一年定开债
4988,006614,嘉实港股通新经济指数C
4989,006615,工银战略新兴产业混合A
4990,006616,工银战略新兴产业混合C
4991,006617,工银瑞泽定开债券
4992,006618,长江可转债债券A
4993,006619,长江可转债债券C
4994,006620,华夏养老2045(FOF)A
4995,006621,华夏养老2045(FOF)C
4996,006622,华夏养老2035(FOF)A
4997,006623,华夏养老2035(FOF)C
4998,006624,中泰玉衡价值优选混合
4999,006625,汇安嘉鑫纯债债券
5000,006626,山西证券超短债A
5001,006627,山西证券超短债C
5002,006629,招商鑫悦中短债A
5003,006630,招商鑫悦中短债C
5004,006631,鑫元臻利A
5005,006632,鑫元臻利C
5006,006633,博时中债1-3政金债指数A
5007,006634,博时中债1-3政金债指数C
5008,006635,永赢伟益债券
5009,006636,华富恒欣纯债债券A
5010,006637,华富恒欣纯债债券C
5011,006638,人保鑫盛纯债A
5012,006639,人保鑫盛纯债C
5013,006640,中金新元6个月定开债A
5014,006641,中金新元6个月定开债C
5015,006642,华泰保兴吉年利定开
5016,006644,弘毅远方消费升级混合
5017,006645,银华安丰中短期债券
5018,006646,汇添富短债债券A
5019,006647,汇添富短债债券C
5020,006648,汇安多因子混合A
5021,006649,汇安多因子混合C
5022,006650,招商安庆债券
5023,006652,富国金融地产行业混合A
5024,006653,南方畅利定开债发起式
5025,006654,华泰紫金季季享定开债A
5026,006655,华泰紫金季季享定开债C
5027,006656,方正富邦中证500ETF联接A
5028,006657,方正富邦中证500ETF联接C
5029,006658,财通中证香港红利等权指数A
5030,006659,财通中证香港红利等权指数C
5031,006660,永赢昌益债券A
5032,006661,永赢昌益债券C
5033,006662,易方达安悦超短债A
5034,006663,易方达安悦超短债C
5035,006664,易方达安悦超短债F
5036,006665,华夏鼎康债券A
5037,006666,华夏鼎康债券C
5038,006667,南华瑞元定期开放债券
5039,006668,华夏中短债债券A
5040,006669,华夏中短债债券C
5041,006670,广发景秀纯债债券
5042,006671,广发消费升级股票
5043,006672,广发招财短债债券A
5044,006673,广发招财短债债券C
5045,006674,大成景旭纯债债券B
5046,006675,宝盈品牌消费股票A
5047,006676,宝盈品牌消费股票C
5048,006677,中银稳汇短债债券A
5049,006678,中银稳汇短债债券C
5050,006679,广发道琼斯石油指数美元现汇A
5051,006680,广发道琼斯石油指数美元现汇C
5052,006681,景顺长城景泰聚利纯债
5053,006682,景顺长城中证500增强
5054,006683,富国国有企业债债券D
5055,006684,富国信用债债券D
5056,006686,人保安惠三个月定开债
5057,006687,方正富邦深证100ETF联接A
5058,006688,方正富邦深证100ETF联接C
5059,006689,方正富邦信泓混合A
5060,006692,金信消费升级股票A
5061,006693,金信消费升级股票C
5062,006695,新华鑫日享中短债C
5063,006696,汇添富3年封闭研究混合
5064,006697,华宝中证银行ETF联接C
5065,006698,红土创新沪深300增强A
5066,006699,红土创新沪深300增强C
5067,006700,红土创新稳健混合A
5068,006701,红土创新稳健混合C
5069,006704,易方达MSCI中国A股联接A
5070,006705,易方达MSCI中国A股联接C
5071,006706,中融聚汇定期开放债券
5072,006707,永赢宏益债券A
5073,006708,永赢宏益债券C
5074,006712,前海开源MSCI中国A股消费A
5075,006713,前海开源MSCI中国A股消费C
5076,006714,博时富源纯债债券
5077,006715,东方永泰纯债1年A
5078,006716,东方永泰纯债1年C
5079,006717,平安惠金定开债C
5080,006718,国融融盛龙头严选混合A
5081,006719,国融融盛龙头严选混合C
5082,006720,平安核心优势混合A
5083,006721,平安核心优势混合C
5084,006724,工银深证红利ETF联接C
5085,006725,国泰丰盈纯债债券
5086,006727,博时中债3-5进出口行A
5087,006728,博时中债3-5进出口行C
5088,006729,万家中证500指数增强A
5089,006730,万家中证500指数增强C
5090,006731,方正富邦富利纯债A
5091,006732,方正富邦富利纯债C
5092,006733,博时创业板ETF联接C
5093,006734,国金惠鑫短债债券A
5094,006735,国金惠鑫短债债券C
5095,006736,国投瑞银先进制造混合
5096,006737,诺安恒惠债券
5097,006738,工银瑞信添慧债券A
5098,006739,工银瑞信添慧债券C
5099,006740,工银尊利中短债债券A
5100,006741,工银尊利中短债债券C
5101,006742,南方臻元债券
5102,006743,中融央视财经50ETF联接A
5103,006744,中融央视财经50ETF联接C
5104,006745,交银中债1-3年农发债指数A
5105,006746,交银中债1-3年农发债指数C
5106,006747,东海祥利纯债
5107,006748,富国中证价值ETF联接A
5108,006750,富国德利纯债定开债
5109,006751,富国互联科技股票A
5110,006752,天弘港股通精选A
5111,006753,天弘港股通精选C
5112,006754,鑫元悦利定开债发起式
5113,006756,国泰中证生物医药ETF联接A
5114,006757,国泰中证生物医药ETF联接C
5115,006758,农银汇理金禄债券
